# n gamma re_zetaprime im_zetaprime
360 626.019283428 4.564391880948e+00 -3.483419435427e+00
361 627.268396851 3.561525043696e+00 -1.442415376054e+00
362 628.325862359 4.105257048489e+00 1.371010917557e+00
363 630.473887438 1.040858172941e-01 -1.195426931946e+00
364 630.805780927 6.888089101770e-01 8.553275450454e-01
365 632.225141167 2.776052170775e+00 2.652358461692e+00
366 633.546858252 4.406787284631e+00 5.078084336832e+00
367 635.523800311 6.992312403876e+00 -4.424459301843e+00
368 637.397193160 -3.130935504392e-01 -1.745568985625e+00
369 637.925513981 1.303495263431e+00 2.276689817873e-01
370 638.927938267 1.511644944564e+00 2.345686722187e+00
371 640.694794669 4.830337264193e+00 2.687719084949e-01
372 641.945499666 4.613564104359e+00 1.449998730509e+00
373 643.278883781 5.829887546616e+00 2.200251298930e+00
374 644.990578230 5.530867391008e+00 -2.741123760045e+00
375 646.348191596 4.127339273899e+00 -2.060554113829e+00
376 647.761753004 2.525483996857e+00 -1.716913637788e+00
377 648.786400889 2.629202002741e+00 4.490774266050e-01
378 650.197519345 1.827272424349e+00 6.976116357271e-02
379 650.668683891 -1.193825476210e+00 2.104978677713e+00
380 653.649571605 -4.627094624034e-01 -3.832325322036e+00
381 654.301920586 2.793956294454e+00 -1.804719973357e-01
382 655.709463022 3.510206474251e+00 -6.866356676067e-01
383 656.964084599 3.421279570771e+00 1.101358535995e-01
384 658.175614419 3.690703349892e+00 1.374706899589e+00
385 659.663845973 4.098444450161e+00 1.475466002396e-01
386 660.716732595 3.630049087063e+00 3.230127409446e+00
387 662.296586431 7.803226699468e+00 1.503573703719e+00
388 664.244604652 1.687770576792e+00 -4.422987828891e+00
389 665.342763096 2.150140161188e+00 -1.548858005084e+00
390 666.515147704 1.617643268307e+00 -3.553827156484e-01
391 667.148494895 2.636465370087e-01 2.139064239724e+00
392 668.975848820 5.938671173568e+00 2.008148479346e+00
393 670.323585206 7.219730501345e+00 2.404261748414e+00
394 672.458183584 1.364047078263e-01 -2.840140243831e+00
395 673.043578286 2.212738144157e+00 5.670474849082e-01
396 674.355897810 4.121755924872e+00 1.388692964382e+00
397 676.139674364 2.611986742238e+00 -2.222358431602e+00
398 677.230180669 1.752631255250e+00 -2.020943265562e-01
399 677.800444746 -2.854333724278e-01 2.339267441873e+00
400 679.742197883 9.089430185007e+00 2.690322804094e+00
401 681.894991533 -1.531168330131e-01 -3.541148160028e+00
402 682.602735020 2.534042509935e+00 -3.343769023350e-01
403 684.013549814 2.502229796812e+00 -7.666532129339e-01
404 684.972629862 2.247124552106e+00 1.520439331263e+00
405 686.163223588 2.837972207983e+00 3.911232595991e+00
406 687.961543185 6.725518670679e+00 -9.234890401879e-01
407 689.368941362 4.921686808705e+00 -1.522747069147e+00
408 690.474735032 5.360756706104e+00 1.332577005408e+00
409 692.451684416 9.150325946505e-01 -2.863668651435e+00
410 693.176970061 2.340382473169e+00 4.128510438109e-01
411 694.533908700 3.102045678552e+00 3.879534108977e-01
412 695.726335921 2.804351595773e+00 1.389751081870e+00
413 696.626069900 4.475723325198e-01 5.134068956500e+00
414 699.132095476 1.875775188228e+00 -6.187990910460e+00
415 700.296739132 1.926923884491e+00 -2.327325645750e+00
416 701.301742955 2.275368100876e+00 -2.435097051435e-01
417 702.227343146 2.110579915165e+00 2.414897707615e+00
418 704.033839296 4.173567773994e+00 -1.141989799920e+00
419 705.125813955 3.517809867534e+00 1.078927339900e+00
420 706.184654800 3.285589245612e+00 4.495558862149e+00
421 708.269070885 3.828607161274e+00 -4.284981357700e+00
422 709.229588570 4.884621990465e+00 1.489417518389e-01
423 711.130274180 6.138156713381e-01 -2.403977431549e+00
424 711.900289914 1.587057013650e+00 -1.809016576587e-04
425 712.749383470 9.988874557304e-01 2.134478960816e+00
426 714.082771821 2.679128434228e+00 5.531635121350e+00
427 716.112396454 6.748126222640e+00 -4.075486648566e+00
428 717.482569703 3.936014845224e+00 -2.973086755624e+00
429 718.742786545 2.876957153306e+00 -1.539165979572e+00
430 719.697100988 3.227908654152e+00 1.321103391516e+00
431 721.351162219 3.223971293105e+00 -1.331994605481e+00
